bear,GMT.Date,GMT.Time,Latitude,Longitude
33488,24.08.2016,22:22:00,30.91405,-88.05446
33488,25.08.2016,1:20:00,30.91402,-88.05451
33488,25.08.2016,2:20:00,30.91403,-88.05458
33488,25.08.2016,3:20:00,30.91214,-88.05614
33488,25.08.2016,4:20:00,30.90933,-88.05594
33488,25.08.2016,5:20:00,30.91341,-88.05284
33488,25.08.2016,6:20:00,30.91535,-88.05393
33488,25.08.2016,7:20:00,30.91367,-88.05088
33488,25.08.2016,8:20:00,30.91068,-88.05124
33488,25.08.2016,9:20:00,30.9107,-88.05123
33488,25.08.2016,10:20:00,30.91068,-88.0512
33488,25.08.2016,11:20:00,30.9107,-88.05114
33488,25.08.2016,12:20:00,30.91066,-88.05123
33488,25.08.2016,13:20:00,30.91062,-88.05125
33488,25.08.2016,14:20:00,30.90726,-88.04969
33488,25.08.2016,15:20:00,30.9063,-88.0484
33488,25.08.2016,16:20:00,30.90439,-88.0491
33488,25.08.2016,17:20:00,30.9048,-88.04911
33488,25.08.2016,18:20:00,30.90459,-88.04918
33488,25.08.2016,19:20:00,30.90464,-88.04915
33488,25.08.2016,20:20:00,30.90463,-88.04922
33488,25.08.2016,21:20:00,30.9045,-88.04914
33488,25.08.2016,22:20:00,30.90457,-88.04917
33488,26.08.2016,1:23:00,30.90459,-88.04918
33488,26.08.2016,2:23:00,30.9046,-88.04924
33488,26.08.2016,3:23:00,30.90469,-88.05035
33488,26.08.2016,4:23:00,30.90472,-88.05034
33488,26.08.2016,5:23:00,30.90522,-88.05032
33488,26.08.2016,6:23:00,30.90617,-88.0507
33488,26.08.2016,7:23:00,30.90616,-88.05082
33488,26.08.2016,8:23:00,30.90621,-88.05071
33488,26.08.2016,9:23:00,30.90599,-88.05061
33488,26.08.2016,10:23:00,30.90617,-88.05068
33488,26.08.2016,11:23:00,30.90532,-88.05171
33488,26.08.2016,12:23:00,30.90404,-88.05358
33488,26.08.2016,13:23:00,30.90322,-88.05446
33488,26.08.2016,14:23:00,30.90438,-88.05014
33488,26.08.2016,15:23:00,30.90518,-88.04846
33488,26.08.2016,16:23:00,30.90849,-88.0457
33488,26.08.2016,17:23:00,30.90187,-88.04612
33488,26.08.2016,18:23:00,30.90328,-88.04429
33488,26.08.2016,19:23:00,30.90335,-88.04409
33488,26.08.2016,20:23:00,30.9034,-88.04408
33488,26.08.2016,21:23:00,30.90339,-88.04403
33488,26.08.2016,22:23:00,30.90361,-88.04428
33488,27.08.2016,1:03:00,30.90729,-88.04312
33488,27.08.2016,2:03:00,30.90658,-88.04301
33488,27.08.2016,3:03:00,30.90685,-88.04271
33488,27.08.2016,4:03:00,30.9094,-88.04538
33488,27.08.2016,1:07:00,30.90882,-88.04679
33488,27.08.2016,2:07:00,30.90793,-88.0485
33488,27.08.2016,3:07:00,30.90616,-88.05064
33488,27.08.2016,4:07:00,30.90557,-88.05116
33488,27.08.2016,5:07:00,30.90515,-88.04906
33488,27.08.2016,6:07:00,30.90318,-88.05163
33488,27.08.2016,7:07:00,30.90421,-88.055
33488,27.08.2016,8:07:00,30.90398,-88.05498
33488,27.08.2016,9:07:00,30.9093,-88.05588
33488,27.08.2016,10:07:00,30.91339,-88.05284
33488,27.08.2016,11:07:00,30.9135,-88.0528
33488,27.08.2016,12:07:00,30.91406,-88.05158
33488,27.08.2016,13:07:00,30.91397,-88.05498
33488,27.08.2016,14:07:00,30.9133,-88.05654
33488,27.08.2016,15:07:00,30.91361,-88.05693
33488,27.08.2016,16:07:00,30.91367,-88.05695
